path,format,mbsystem_format_id,em_model,vessel,latitude,longitude,utm_zone,depth_regime,median_depth_m,datagram_types,has_seabed_image,n_datagrams_scanned,scan_truncated,error
/home/beesonj/MGL1701/multibeam-item-596445/insitu_ocean/trackline/marcus_g._langseth/mgl1701/multibeam/data/version1/MB/em122/0169_20170119_005232_Langseth.all,all,56,EM122,R/V Marcus G. Langseth,-33.992043,-72.416592,18S,deep,1419.5,1:10;A:10;C:11;G:1;H:5;I:2;N:1;P:11;R:5;U:2;X:1;Y:1;i:1;n:107,True,168,False,
/home/beesonj/RR1413/rawmultibeam/0000_20141129_000828_revelle.all,all,56,EM122,R/V Roger Revelle,13.355029,144.405335,55N,deep,2928.1,1:1802;3:2;A:3536;C:1802;G:18;I:2;N:244;P:9009;R:32;U:2;X:244;Y:244;i:1;n:36035,True,52973,False,
/home/beesonj/projects/Monterey_Canyon_MBES/DPDK027/DPDK027_LowerMonterey/0251_20260428_101500_DavidPackard.kmall,kmall,261,EM304,R/V David Packard,35.863137,-122.284606,10N,deep,2234.7,#CPO:12;#FCF:1;#IIP:1;#IOP:1;#MRZ:2;#SCL:12;#SKM:25;#SPE:12;#SPO:12;#SVP:1;#SVT:301,True,380,False,
/home/beesonj/projects/Monterey_Canyon_MBES/archive/Python_KMALL/kmall_viewer/example_data/0047_20250717_021609_DavidPackard.kmall,kmall,261,EM304,R/V David Packard,36.468936,-123.42076,10N,abyssal,3550.9,#CPO:1671;#IIP:1;#IOP:1;#MRZ:181;#SCL:1671;#SKM:3277;#SPE:1671;#SPO:1671;#SVP:1;#SVT:40439,True,50584,True,
/mnt/d/Cowork_OS/_WSL_Staging/projects/Bard_ChatGPT3/0005_20230305_165930_FKt230303_EM124.kmall,kmall,261,EM124,,20.549866,-59.559604,21N,abyssal,5248.0,#CPO:242;#IIP:1;#IOP:8;#MRZ:5;#SCL:81;#SKM:158;#SPO:242;#SVP:1;#SVT:80,True,818,False,
/mnt/d/Cowork_OS/_WSL_Staging/projects/MBES_ARC/from_Mike/QCorr/0002_20190407_102940_Equinox_2040_300kHz.all,all,56,EM2040,Fugro Equinox,12.623743,109.649928,49N,shelf/slope,148.6,0:2;1:183;A:181;C:913;G:45;H:106;I:2;N:456;P:184;R:21;U:2;X:456;Y:456;h:183;i:1,True,3191,False,
/mnt/d/Cowork_OS/_WSL_Staging/projects/MBES_ARC/from_Mike/QCorr/0013_20151209_211045_FugroBrasilis.all,all,56,EM302,Fugro Brasilis,22.189679,-91.876938,15N,shelf/slope,140.6,0:729;1:728;A:714;C:7285;G:182;H:247;I:1;N:1924;O:1924;P:729;R:713;U:1;X:1924;Y:1924;i:1;n:7285,True,26311,False,
/mnt/d/Cowork_OS/_WSL_Staging/projects/MBES_ARC/from_Mike/QCorr/0025_20190224_073647_Searcher.all,all,56,EM302,Searcher,-24.720796,-41.877208,24S,deep,2298.3,0:2243;1:2242;A:2203;C:2241;G:45;I:1;N:664;O:664;P:2241;R:148;U:1;X:664;Y:664;h:2232;i:1;n:22414,True,38668,False,
/mnt/d/Cowork_OS/_WSL_Staging/projects/MBES_ARC/test_data/0001_20180824_211711_FK180824_EM302.all,all,56,EM302,,46.222106,-124.655194,10N,shelf/slope,533.7,0:1;1:1080;3:1;A:2121;C:1080;G:21;I:1;N:553;P:2160;R:78;U:1;X:553;Y:553;i:1;n:21606,True,29810,False,
/mnt/d/Cowork_OS/_WSL_Staging/projects/MBES_ARC/test_data/Nautilus_Data/0000_20160415_011924_Nautilus.all,all,56,,E/V Nautilus,,,,,,,,0,False,gzip-compressed (decompress before reading: gunzip)
